address,count,first,last,perc,cumulative,cumulative_perc,label
0xea674fdde714fd979de3edf0f56aa9716b898ec8,2998538,1191938,14569995,20.58,2998538,20.58,ethermine
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,2043550,4196889,13327054,14.03,5042088,34.61,sparkpool
0x829bd824b016326a401d083b33d092293333a830,1443949,3908114,14569986,9.91,6486037,44.52,f2pool
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1257846,103816,14569938,8.63,7743883,53.15,nanopool
0x2a65aca4d5fc5b5c859090a6c34d164135398226,940219,249402,9551218,6.45,8684102,59.6,dwarfpool
0x61c808d82a3ac53231750dadc13c777b59310bd9,481983,1253758,3908109,3.31,9166085,62.91,f2pool
0xb2930b35844a230f00e51431acae96fe543a0347,465731,1172758,9617203,3.2,9631816,66.11,miningpoolhub
0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,294693,6299579,12986188,2.02,9926509,68.13,zhizhu
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,282624,274124,14219516,1.94,10209133,70.07,ethpool
0x1ad91ee08f21be3de0ba2ba6918e714da6b45836,229700,11286723,14569996,1.58,10438833,71.65,hiveon
0x1e9939daaad6924ad004c2560e90804164900341,182950,2039489,4243680,1.26,10621783,72.9,ethfans
0xf8b483dba2c3b7176a3da549ad41a48bb3121069,162265,161047,2093943,1.11,10784048,74.02,coinotron
0xc0ea08a2d404d3172d2add29a45be56da40e2949,154185,2283825,4506418,1.06,10938233,75.07,
0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,141411,4918234,14569989,0.97,11079644,76.04,2miners
0xbcdfc35b86bedf72f0cda046a3c16829a2ef41d1,133264,1362970,4753622,0.91,11212908,76.96,bwpool
0x99c85bb64564d9ef9a99621301f22c9993cb89e3,130664,5328931,13423563,0.9,11343572,77.86,beepool
0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,127824,6995960,13485632,0.88,11471396,78.73,uupool
0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,106258,1101187,6379166,0.73,11577654,79.46,bitclubpool
0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,100498,10247861,14569910,0.69,11678152,80.15,miningpoolhub
0xb3b7874f13387d44a3398d298b075b7a3505d8d4,89611,10327266,13313010,0.62,11767763,80.77,babelpool
0x7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c,77688,9994360,14569952,0.53,11845451,81.3,flexpool
0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,71369,6101335,11286974,0.49,11916820,81.79,hiveon
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,70744,1948352,4052457,0.49,11987564,82.28,coinotron
0x005e288d713a5fb3d7c9cf1b43810a98688c7223,68634,6392196,13422017,0.47,12056198,82.75,xnpool
0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,67079,6145034,14569943,0.46,12123277,83.21,btccompool
